new file \n Binary files / dev / null and b / art / intro . png differ \n,Added intro image .,repo70
platform / platform - api / src / com / intellij / ui / tabs / impl / singleRow / ScrollableSingleRowLayout . java \n + doScrollSelectionInView ( myLastSingRowLayout ) ; \n,IDEA - 82242 Scroll the tabs with mouse wheel,repo145
libraries / drag - sort - listview / build . gradle \n + minSdkVersion 9 \n,Add minSdkVersion to dslv lib to avoid read phone state permission .,repo779
"core / jni / android_net_TrafficStats . cpp \n + "" cdma_rmnet4 "" , \n",Add cdma_rmnet4 to list of monitored interfaces,repo67
"src / com / google / javascript / jscomp / DefaultPassConfig . java \n - new PassFactory ( "" checkAccessControls "" , true ) { \n + new PassFactory ( "" lintChecks "" , true ) { \n",Fix stupid copy / paste typo .,repo215
rename from otp - core / src / main / java / org / opentripplanner / graph_builder / impl / bike / BikeParkGraphBuilder . java \n rename to src / main / java / org / opentripplanner / graph_builder / impl / bike / BikeParkGraphBuilder . java \n,Move Bike P + R builder to correct location .,repo972
test / conf / cassandra . yaml \n - commitlog_sync : periodic \n - commitlog_sync_period_in_ms : 10000 \n + commitlog_sync : batch \n + commitlog_sync_batch_window_in_ms : 1 . 0 \n,revert change to test / cassandra .,repo183
Binary files a / bigbluebutton - client / src / org / bigbluebutton / main / views / assets / audio - test . mp3 and b / bigbluebutton - client / src / org / bigbluebutton / main / views / assets / audio - test . mp3 differ \n,Edited audio - test . mp3 to 10 seconds,repo428
library / src / main / java / org / lucasr / twowayview / TWLayoutManager . java \n - private static final int INVALID_OFFSET = Integer . MIN_VALUE ; \n - \n,Remove unused constant from TWLayoutManager,repo92
hadoop / README . txt \n + \n + FOR MORE INFORMATION \n + - - - - - - - - - - - - - - - - - - - - \n + \n + $ hadoop jar h2odriver_cdh4 . jar water . hadoop . h2odriver - help \n + \n,Add help .,repo316
new file \n . gitignore \n + target / \n + . classpath \n + . project \n + . settings \n + * / src / main / java / META - INF / \n + * . log \n + * . swp \n + * . diff \n + * . patch \n,Adding top level .,repo845
INSTALL \n - or online at < http : / / grails . codehaus . org / Installation > . \n + or online at < http : / / grails . org / Installation > . \n,updated url of install doc,repo353
"portal - impl / src / portal . properties \n + / activities / rss , \ \n + \ \n",LPS - 45608 path / activities / rss should not require authentication,repo934
README . md \n - compile ' com . ms - square : expandableTextView : 0 . 1 . 2 ' \n + compile ' com . ms - square : expandableTextView : 0 . 1 . 3 ' \n,update README . md for version 0 . 1 . 3,repo434
modules / sdk / gradle - templates / bnd . bnd \n - Bundle - Version : 1 . 0 . 11 \n + Bundle - Version : 1 . 0 . 12 \n,"LPS - 65749 prep next , use latest",repo934
src / cpp / desktop - mac / AppDelegate . mm \n - ( void ) launchNewRStudioWindow \n - arguments : [ NSArray new ] ] ; \n + arguments : [ NSArray array ] ] ; \n,use empty array instance rather than brand new array,repo535
rename from README - ZH . md \n rename to README . md \n,Rename README - ZH .,repo844
distributed / pom . xml \n - < artifactId > hazelcast < / artifactId > \n + < artifactId > hazelcast - all < / artifactId > \n,Fixed issue # 3304,repo223
. gitignore \n + mkmf . log \n,adding mkmf . log to gitignore,repo105
"gradle / assemble . gradle \n - binExecutables = [ "" cygrails "" , "" grails "" , "" grails - debug "" ] \n + binExecutables = [ "" cygrails "" , "" grails "" , "" grails - debug "" , "" grails - debug . bat "" , "" grails . bat "" ] \n",include windows batch files in zipDist,repo353
old mode 100755 \n new mode 100644 \n,Fix permissions,repo231
pom . xml \n - < version > 6 . 11 . 1 < / version > \n + < version > 6 . 11 . 2 - SNAPSHOT < / version > \n,prepare for next development iteration,repo181
"enterprise / core - edge / src / main / java / org / neo4j / coreedge / core / consensus / RaftMessages . java \n - NEW_CoreMemberSHIP_TARGET , \n",remove unused enum value,repo181
appveyor . yml \n - shallow_clone : true \n + clone_depth : 1 \n,fix git commit failing,repo728
. travis . yml \n - chmod + x gradlew \n + - chmod u + rwx scripts / upload_release_to_github . py \n - . / gradlew build \n - python2 . 7 \n - after_success : . / scripts / upload_release_to_github . py \n + after_success : \n + - . / scripts / upload_release_to_github . py \n,Fix chmod ( # 41 ),repo681
. gitignore \n - \n,removed empty line .,repo719
"pom . xml \n - < version > [ 3 . 0 . 5 , ) < / version > \n + < version > [ 3 . 0 . 5 , 3 . 1 ) < / version > \n",Disallow usage of maven 3 . 1 . x ( and higher ) because of non compability with plugins,repo27
buildmultiplescalaversions . sh \n + set - eu \n,Add set - eu to scala versions script,repo104
build . gradle \n + defaultConfig { \n + minSdkVersion 15 \n + targetSdkVersion 17 \n + } \n + \n,Set minSdkVersion + targetSdkVersion via build . gradle,repo207
jetty - client / src / main / java / org / eclipse / jetty / client / PoolingHttpDestination . java \n + super . close ( ) ; \n,Added missing call to super . close ( ) .,repo845
CHANGELOG . md \n + * NOTICE Latest translations from crowdin . \n,Amend release notes for 23 - beta4 .,repo779
java / org / apache / tomcat / util / threads / CounterLatch . java \n - private long signal ; \n + private volatile long signal ; \n,make shared variable volatile,repo763
js / rebound . js \n - * Example : http : / / jsfiddle . net / wbailey / Xz464 / 2 / \n + * Example : http : / / jsfiddle . net / Xz464 / 7 / \n,update example url,repo118
"README . md \n - @ Index ( name = "" name_index "" ) / / table specification \n + @ Index ( "" name_index "" ) / / table specification \n",Resolve # 215 Update readme for @ Index annotation,repo590
new file \n Binary files / dev / null and b / docs / resources / images / 02 - 01 / chart_of_screen_density . png differ \n,Add image for screen density chart,repo795
gradle / test . gradle \n - forkEvery = isRunningOnCI ( ) ? 400 : 200 \n + forkEvery = isRunningOnCI ( ) ? 50 : 200 \n,Reduce the number of tests before fork in CI,repo565
graylog2 - server / pom . xml \n - < version > 2 . 0 < / version > \n + < version > 2 . 1 < / version > \n,Fixing pom . xml for Maven 3 . 1 .,repo266
testData / doc / fieldDeclaration . txt \n - \n - No u \n - rls \n + No urls \n,Fix testdata,repo121
packaging / standalone / src / main / distribution / shell - scripts / bin / Neo4jInstaller . bat \n - \n,Remove unnecessary block ( issue # 1533 ),repo181
Binary files a / SeriesGuide / res / drawable - hdpi / ic_action_collect . png and b / SeriesGuide / res / drawable - hdpi / ic_action_collect . png differ \n deleted file \n Binary files a / SeriesGuide / res / drawable - mdpi / ic_action_collect . png and / dev / null differ \n Binary files a / SeriesGuide / res / drawable - xhdpi / ic_action_collect . png and b / SeriesGuide / res / drawable - xhdpi / ic_action_collect . png differ \n,Add hdpi and xhdpi dark collected icon .,repo779
src / main / groovy / util / ConfigObject . java \n - import groovy . lang . Closure ; \n - import groovy . lang . GroovyObject ; \n,Removed non - needed imports,repo565
liquibase - core / pom . xml \n - < project . version > 3 . 3 . 4 - SNAPSHOT < / project . version > \n + < project . version > 3 . 3 . 5 < / project . version > \n,Did not update project . version correctly .,repo871
. travis . yml \n - oraclejdk8 \n - oraclejdk7 \n - # temporarily disable test \n - install : \n - - \n + script : mvn - DskipTests = true clean package \n + \n,temporarily disable unit test,repo52
"deleted file \n lib / src / main / res / values / strings . xml \n - < resources > \n - < string name = "" app_name "" > snackbar < / string > \n - < / resources > \n",Removed string resources from lib,repo511
Binary files a / lib / native / windows - 64 / jnffmpeg . dll and b / lib / native / windows - 64 / jnffmpeg . dll differ \n Binary files a / lib / native / windows / jnffmpeg . dll and b / lib / native / windows / jnffmpeg . dll differ \n,Fixes an access violation in H . 264 / video on Windows .,repo794
modules / sdk / ant - bnd / bnd . bnd \n - Bundle - Version : 1 . 0 . 2 \n + Bundle - Version : 1 . 0 . 3 \n,"LPS - 52032 released 1 . 0 . 2 , so prep for 1 . 0 . 3 snapshot",repo934
python / helpers / pydev / pydevconsole . py \n + if not IPYTHON : \n + sys . stderr . write ( ' PyDev console : starting . \ n ' ) \n,Added message .,repo145
config / elasticsearch . yml \n - gateway : \n - recover_after_nodes : 3 \n,revert committed configuration,repo2
"python / src / com / jetbrains / python / formatter / PyCodeStyleSettingsProvider . java \n - return null ; \n + return "" reference . settingsdialog . codestyle . python "" ; \n",help topic ( PY - 4665 ),repo145
"python / src / com / jetbrains / python / sdk / PyDetectedSdk . java \n + @ Override \n + public String getVersionString ( ) { \n + return "" "" ; \n + } \n",fixed PY - 13561 Hang on New Project action,repo145
rename from src / forge / resources / worldedit . properties \n rename to src / forge / resources / defaults / worldedit . properties \n,Move worldedit . properties to defaults folder so it extracts properly,repo984
Binary files a / astrid / res / drawable - xhdpi / check_box_repeat_2 . png and b / astrid / res / drawable - xhdpi / check_box_repeat_2 . png differ \n Binary files a / astrid / res / drawable - xhdpi / check_box_repeat_3 . png and b / astrid / res / drawable - xhdpi / check_box_repeat_3 . png differ \n,added two more that,repo835
. travis . yml \n - mvn - DskipTests - B assembly : single \n - - mvn - - B - - settings build_script / settings . xml deploy \n + - mvn - B - - settings build_script / settings . xml deploy \n,remove extra - from maven arg,repo266
Binary files a / lib / native / linux - 64 / libglobalshortcut . so and b / lib / native / linux - 64 / libglobalshortcut . so differ \n Binary files a / lib / native / linux / libglobalshortcut . so and b / lib / native / linux / libglobalshortcut . so differ \n Binary files a / lib / native / windows / globalshortcut . dll and b / lib / native / windows / globalshortcut . dll differ \n,Adds native globalshortcut libs for linux and Windows .,repo794
portal - impl / src / com / liferay / portal / upgrade / v6_2_0 / UpgradeSocial . java \n + keys . add ( key ) ; \n + \n,Add keys . add ( key ),repo934
platform / platform - impl / src / com / intellij / ui / LightweightHint . java \n - / / todo [ kirillk ] look here \n,"removed todo on vetoesHiding , reviewed",repo145
subprojects / launcher / launcher . gradle \n + \n + runtime project ( ' : plugins ' ) \n + runtime project ( ' : codeQuality ' ) \n,added runtime dependencies to launcher project,repo109
subprojects / tooling - api / src / main / java / org / gradle / tooling / ModelBuilder . java \n + @ Incubating \n,Add @ Incubating to override of API ' withCancellationToken ',repo109
"programs / buck_repo . py \n + print ( "" All done , continuing with build . "" , file = sys . stderr ) \n",Add building buck completed line,repo177
"gradle / javaModule . gradle \n - toolVersion = "" 0 . 7 . 2 . 201409121644 "" \n + toolVersion = "" 0 . 7 . 6 . 201602180812 "" \n",Bump the jacoco version .,repo664
README \n - imageLoader contains a java maven based project \n - imageLoaderTest mvn android based project to test imageLoader \n + - imageLoaderDemoTest mvn android based project with robotium test \n + - imageLoaderMonkeyRunner some example that take a snapshot using monkey runner \n,Edited README via GitHub,repo935
src / jvm / storm / kafka / KafkaConfig . java \n - public static interface BrokerHosts { \n + public static interface BrokerHosts extends Serializable { \n,make brokerhosts serializable,repo137
ratpack - manual / . editorconfig \n - indent_style = tabs \n + indent_style = tab \n,fixing typo in indent_style,repo664
config . yml \n - max - distance : 50 \n + max - distance : 100 \n + \n + scripting : \n + timeout : 3000 \n,Updated default configuration .,repo984
Binary files a / build / lib / gant / jps - sources . zip and b / build / lib / gant / jps - sources . zip differ \n Binary files a / build / lib / gant / lib / jps . jar and b / build / lib / gant / lib / jps . jar differ \n,fixed bugs in not - null instrumentation,repo145
platform - impl / src / com / intellij / openapi / components / impl / ComponentManagerImpl . java \n + ApplicationManager . getApplication ( ) . assertIsDispatchThread ( ) ; \n,dispose component managers on EDT,repo145
undertow / src / main / java / org / wildfly / extension / undertow / deployment / ServletResourceManager . java \n - return explodedDeployment ; \n + return explodedDeployment & & deploymentResourceManager . isResourceChangeListenerSupported ( ) ; \n,WFLY - 6768 ServletResourceManager does not implement isResourceChangeListenerSupported correctly,repo411
library / src / main / java / com / github / amlcurran / showcaseview / ShowcaseView . java \n - final ShowcaseView showcaseView ; \n + private final ShowcaseView showcaseView ; \n,Make a variable final,repo99
"grails - shell / build . gradle \n - gradleToolingApiVersion = "" 2 . 3 - 20141120230022 + 0000 "" / / gradle . gradleVersion \n + gradleToolingApiVersion = "" 2 . 3 - 20141218230037 + 0000 "" / / gradle . gradleVersion \n",use most recent gradle 2 . 3 nightly snapshot version of Tooling API,repo353
new file \n deleted file \n modules / apps / config - admin / config - admin - web / src / WEB - INF / ignore \n - Please do not remove me ! \n - \n - I ' m here to address a current limitation in the FreeMarker template engine . \n,LPS - 50757 can we use the existing .,repo934
src / com / hazelcast / core / EntryEvent . java \n + \n + public String getName ( ) { \n + return name ; \n + } \n,Fix for issue 27,repo394
owncloud - android - library \n - Subproject commit 3c116514fb33992d050f7051e756b6c2244953b0 \n + Subproject commit e72fec72a3138d4e714a9db37eb87cb76a958bdf \n,Updated library reference,repo364
rename from h2o - docs / src / product / flow / packs / examples / notebook / GBM_Tunning_Tutorial \n rename to h2o - docs / src / product / flow / packs / examples / notebook / GBM_Tuning_Tutorial \n,fixed typo renamed file with tuning instead of tunning,repo597
CHANGES . txt \n - > > > > > > > . r1087843 \n,Removed an unnecessary line introduced into CHANGES . txt by change r1087844,repo255
"build . gradle \n + / / At a test failure , log the stack trace to the console so that we don ' t \n + / / have to open the HTML in a browser . \n + test { \n + testLogging { \n + exceptionFormat = ' full ' \n + } \n + } \n",Log stack traces of test failures to the console .,repo328
drivers / java / src / org / apache / cassandra / cql / jdbc / TypedColumn . java \n - class TypedColumn \n + public class TypedColumn \n,make TypedColumn public,repo183
"settings . gradle \n - / / ' databus - profile - client ' , \n + ' databus - profile - client ' , \n",enabling the profile client,repo704
java / org / apache / jasper / compiler / Validator . java \n - DirectiveVisitor ( Compiler compiler ) throws JasperException { \n + DirectiveVisitor ( Compiler compiler ) { \n,Remove some declared exceptions that are never thrown,repo763
libffi / configure \n + amd64 - * - freebsd * ) \n + TARGET = X86_64 ; TARGETDIR = x86 \n + ; ; \n + \n,Update configure script .,repo231
pom . xml \n + < configuration > \n + < excludes > \n + < exclude > clojure / version . properties < / exclude > \n + < / excludes > \n + < / configuration > \n,Remove version . properties from ' sources ' JAR,repo55
CHANGELOG . md \n + * STORM - 1902 : add a simple & flexible FileNameFormat for storm - hdfs \n,add STORM - 1902 to CHANGELOG,repo137
gradle . properties \n - previousMinor = 1 \n + previousMinor = 0 \n,set back release properties,repo109
graylog2 - server / src / main / java / org / graylog2 / indexer / retention / strategies / DeletionRetentionStrategy . java \n - return DeletionRetentionStrategy . class ; \n + return DeletionRetentionStrategyConfig . class ; \n,Fix DeletionRetentionStrategy # configurationClass ( ),repo266
. gitignore \n + otp \n + otp - batch - analyst \n,ignore filtered scripts created by build,repo972
Binary files a / build / macosx / template . dmg . gz and b / build / macosx / template . dmg . gz differ \n,"updated disk image , more space",repo185
deleted file \n Binary files a / sample / libs / universal - image - loader - 1 . 7 . 1 - with - sources . jar and / dev / null differ \n new file \n Binary files / dev / null and b / sample / libs / universal - image - loader - 1 . 8 . 0 - SNAPSHOT - with - sources . jar differ \n,Use the latest lib snapshot,repo6
jetty - webapp / src / main / config / modules / webapp . mod \n + security \n,Added security dependency on webapp . mod,repo845
build . gradle \n - versionCode = 11248 \n - versionName = ' 13 - beta5 ' \n + versionCode = 11249 \n + versionName = ' 13 - beta6 ' \n,"Push version to 13 - beta6 , 11249 .",repo779
graphdb / src / main / resources / META - INF / services / javax . script . ScriptEngineFactory \n - com . tinkerpop . gremlin . jsr223 . GremlinGroovyScriptEngineFactory \n + com . tinkerpop . gremlin . groovy . jsr223 . GremlinGroovyScriptEngineFactory \n,Fixed warning at startup about the missing Gremlin engine,repo223
new file \n Binary files / dev / null and b / art / video . gif differ \n,Add gif,repo539
"src / com / google / javascript / jscomp / parsing / ParserConfig . properties \n + model , \ \n",Add @ model to list of allowed annotation .,repo215
new file \n README \n + - see http : / / code . google . com / p / bigbluebutton \n,add README,repo421
JodaTime / src / conf / MANIFEST . MF \n - Build - Jdk : 1 . 3 . 1 \n,Abandon Maven 2,repo244
src / main / java / org / bukkit / command / CommandSender . java \n - * Returns the server instance that this player is running through \n + * Returns the server instance that this command is running on \n,Corrected description of CommandSender . getServer ( ),repo400
CHANGELOG . md \n - # # # # 2 . 8 . 4beta ( TBA ) \n + # # # # 2 . 8 . 4beta ( 2012 - 07 - 25 ) \n,Add release date for 2 . 8 . 4beta,repo779
gradle . properties \n - VERSION_NAME = 2 . 1 . 4 \n - VERSION_CODE = 200005 \n + VERSION_NAME = 2 . 1 . 5 - SNAPSHOT \n + VERSION_CODE = 200006 \n,Prepare library for development,repo385
Dockerfile \n - MAINTAINER Arvind Kandhare ( arvind . kandhare @ emc . com ) \n + MAINTAINER Arvind Kandhare [ arvind . kandhare @ emc . com ] \n,Pull request comments,repo330
build . gradle \n - nettyVersion = ' 4 . 0 . 24 . Final ' \n + nettyVersion = ' 4 . 0 . 25 . Final ' \n,upgraded netty to 4 . 0 . 25,repo552
plugins / devkit / src / dom / IdeaPlugin . java \n - List < GenericDomValue < String > > getChangeNoteses ( ) ; \n + List < GenericDomValue < String > > getChangeNotess ( ) ; \n,corrected type,repo145
new file \n Binary files / dev / null and b / res / drawable - xxhdpi / ic_launcher . png differ \n new file \n Binary files / dev / null and b / res / drawable - xxhdpi / ic_menu_refresh . png differ \n new file \n Binary files / dev / null and b / res / drawable - xxhdpi / ic_notification . png differ \n,Add xxhdpi icons,repo714
portal - impl / src / portal . properties \n + / shopping / notify \n,LPS - 50604 Why did we remove this path ?,repo934
new file \n . travis . yml \n + language : java \n + install : \n + - sh - c ' cd querydsl - root & & mvn install - Dskiptests = true ' \n + script : \n + - sh - c ' cd querydsl - root & & mvn test ' \n,Add travis config,repo839
ion / src / com / koushikdutta / ion / IonDrawable . java \n - \n,remove space,repo64
README . rdoc \n - The Nokogiri mailing list is available here : \n + The Nokogiri { mailing list } [ http : / / groups . google . com / group / nokogiri - talk ] \n + is available here : \n,updating readme,repo105
bindings / cpp / configure . ac \n - AM_PATH_CPPUNIT ( 1 . 9 . 6 ) \n,Remove unneeded check for cppunit,repo387
hazelcast / src / main / java / com / hazelcast / util / ValidationUtil . java \n + private ValidationUtil ( ) { } \n + \n,Made validation util also have private constructor to prevent initialization,repo394
new file \n Binary files / dev / null and b / resources / icons / type @ 2x . png differ \n,add type icon with retina support,repo121
pom . xml \n - < version > 1 . 3 < / version > \n + < version > 1 . 3 . 1 < / version > \n,upgrade XStream 1 . 3 - > 1 . 3 . 1,repo565
Binary files a / UniversalImageLoader . png and b / UniversalImageLoader . png differ \n,Updated screenshots image,repo6
"package . json \n + "" babel "" : "" 5 . 4 . 3 "" , \n",Add babel to package . json,repo1
. travis . yml \n - platform - tools \n - tools \n - - build - tools - 22 . 0 . 1 \n - - build - tools - 21 . 1 . 2 \n - - build - tools - 19 . 1 . 0 \n - - android - 22 \n + - build - tools - 23 . 0 . 0 \n + - android - 23 \n - extra - android - m2repository \n,update travis . yml,repo380
pom . xml \n - < version > 4 . 5 . 0 - SNAPSHOT < / version > \n + < version > 4 . 5 . 0RC3 < / version > \n,prepare release acra - 4 . 5 . 0RC3,repo167
new file \n Binary files / dev / null and b / lib / servlet - api . jar differ \n deleted file \n Binary files a / lib / tomcat / servlet - api . jar and / dev / null differ \n,Consolidate javax . servlet jars,repo269
testutils / hadoop . cmd \n - \n + exit / b % ERRORLEVEL % \n,Return the child JVM exit code to the parent process to handle the error conditions ( Kanna Karanam via Ashutosh Chauhan ),repo799
Binary files a / lib / sources / com . springsource . org . hamcrest . core - 1 . 1 . 0 - sources . jar and b / lib / sources / com . springsource . org . hamcrest . core - 1 . 1 . 0 - sources . jar differ \n,In order to have sources jar containing only sources for consistency,repo170
pom . xml \n - < version > 2 < / version > \n + < version > 5 < / version > \n,Bump parent version to 5,repo171
Binary files a / sample / libs / universal - image - loader - 1 . 8 . 1 - SNAPSHOT - with - sources . jar and b / sample / libs / universal - image - loader - 1 . 8 . 1 - SNAPSHOT - with - sources . jar differ \n,Built new snapshot lib,repo6
actor - apps / app - web / src / styles / toolbar . scss \n - display : block ; \n + display : inline - block ; \n,set toolbar conversation title display property,repo194
trunk / JLanguageTool / src / java / de / danielnaber / languagetool / MessagesBundle . properties \n + ast = Asturian \n + \n,add Asturian,repo989
core / java / android / view / ViewConfiguration . java \n - private static final int OVERSCROLL_DISTANCE = 2 ; \n + private static final int OVERSCROLL_DISTANCE = 0 ; \n,DO NOT MERGE Tweak overscroll,repo67
portal - impl / src / com / liferay / portal / service / persistence / impl / UserGroupRolePersistenceImpl . java \n + clearCache ( userGroupRole ) ; \n + \n,LPS - 44526 New User does not have administration permissions in New Site when made Site Administrator / Site Owner,repo934
media / libstagefright / httplive / LiveSession . cpp \n - return err ; \n + return n ; \n,Fix typo .,repo155
version . gradle \n - shortVersion = ' 4 . 1 . 0 - rc1 ' \n - isSnapshot = false \n + shortVersion = ' 4 . 2 . 0 - alpha1 ' \n + isSnapshot = true \n,Smack 4 . 2 . 0 - alpha1 - SNAPSHOT,repo796
Binary files a / xutils / libs / armeabi - v7a / libwebpbackport . so and b / xutils / libs / armeabi - v7a / libwebpbackport . so differ \n Binary files a / xutils / libs / armeabi / libwebpbackport . so and b / xutils / libs / armeabi / libwebpbackport . so differ \n Binary files a / xutils / libs / x86 / libwebpbackport . so and b / xutils / libs / x86 / libwebpbackport . so differ \n,update libwebp,repo182
third_party / ijar / classfile . cc \n + # define __STDC_FORMAT_MACROS 1 \n,PRIx32 macro needs __STDC_FORMAT_MACRO defined on systems instead of __STDC_LIMIT_MACROS,repo73
"enterprise / NOTICE . txt \n + For licensng information , see COPYRIGHT . txt and LICENSE . txt . \n",Added a clarifying note .,repo181
"twidere / build . gradle \n - versionCode 189 \n - versionName "" 3 . 1 . 5 "" \n + versionCode 190 \n + versionName "" 3 . 1 . 5 . 1 "" \n",updated version,repo901
debian / cassandra . install \n - bin / sstablekeys usr / bin \n + bin / sstablelister usr / bin \n,Fix debian build,repo183
. gitignore \n + / . pydevproject \n new file \n + language : java \n,add travis,repo115
. gitignore \n - . idea / workspace . xml \n - tmp \n + tmp \n + workspace . xml \n,Ignoring all workspace . xml files .,repo47
pom . xml \n - < failOnError > false < / failOnError > \n + < failOnError > true < / failOnError > \n,"Set parameter ' failOnError ' of maven javadoc plugin to true ,",repo611
hellowords / readme . md \n - It ' s project that has a lot of hello word examples for many libraries or frameworks . \n + A lot of hello word examples for many libraries and frameworks \n,JAL - 216 Add Guava and Apache to Hello World,repo245
pom . xml \n - < version > 1 . 3 . 3 < / version > \n + < version > 1 . 3 . 4 - SNAPSHOT < / version > \n,prepare for next development iteration,repo155
rename from bigbluebutton - client / config / bigbluebutton_favicon . ico \n rename to bigbluebutton - client / config / favicon . ico \n,changed name for favicon,repo428
CHANGELOG . md \n + * STORM - 1110 : Fix Component Page for system components \n,add STORM - 1110 to CHANGELOG . md,repo137
src / com / google / javascript / jscomp / CommandLineRunner . java \n - class CommandLineRunner extends \n + public class CommandLineRunner extends \n,"Changed CommandLineRunner to public , as I believe that was the intention according to",repo215
